,City,Temperature,Humidity,Longitude,Latitude,Cloudiness,Country,Windspeed,Date
0,hobart,41.0,86,147.33,-42.88,75,AU,6.93,1602878272
1,nikolskoye,41.0,65,30.79,59.7,90,RU,6.71,1602878273
2,coaticook,48.2,100,-71.8,45.13,90,CA,4.7,1602878274
3,yumen,41.63,50,97.2,40.28,4,CN,13.51,1602878276
4,college,17.01,72,-147.8,64.86,20,US,5.82,1602878277
5,ribeira grande,68.0,68,-28.7,38.52,75,PT,10.29,1602878278
6,poroshkovo,37.99,97,22.75,48.67,100,UA,1.99,1602878280
7,butaritari,81.37,76,172.79,3.07,0,KI,14.27,1602878282
8,bluff,44.01,86,168.33,-46.6,55,NZ,4.0,1602878283
9,katangli,32.83,89,143.23,51.71,28,RU,11.92,1602878284
10,rikitea,73.74,81,-134.97,-23.12,100,PF,21.81,1602878285
11,busselton,50.0,70,115.33,-33.65,0,AU,10.0,1602878284
12,jawa,68.0,72,35.94,31.85,0,JO,1.9,1602878288
13,zyryanka,26.55,98,150.85,65.75,100,RU,7.87,1602878289
14,garhi khairo,72.1,20,67.98,28.06,24,PK,1.41,1602878290
15,mumford,77.94,87,-0.76,5.26,98,GH,11.36,1602878291
16,nieuw amsterdam,88.0,70,-55.08,5.88,32,SR,7.0,1602878191
17,hithadhoo,83.5,75,73.08,-0.6,85,MV,21.27,1602878294
18,khatanga,-1.8,90,102.5,71.97,0,RU,5.23,1602878295
19,linjiang,34.54,88,126.91,41.81,0,CN,2.01,1602878296
20,bredasdorp,59.0,87,20.04,-34.53,0,ZA,1.83,1602878297
21,lagoa,64.0,67,-27.98,39.05,100,PT,6.71,1602878298
22,mankono,75.6,83,-6.19,8.06,97,CI,2.35,1602878299
23,mwanza,75.2,60,32.9,-2.52,40,TZ,5.82,1602878301
24,hermanus,57.99,91,19.23,-34.42,0,ZA,6.13,1602878302
25,arraial do cabo,71.6,73,-42.03,-22.97,90,BR,10.29,1602878303
26,barrow,15.8,72,-156.79,71.29,1,US,24.16,1602878299
27,malkangiri,74.66,92,81.9,18.35,12,IN,0.98,1602878305
28,mount isa,66.2,42,139.5,-20.73,0,AU,5.82,1602878308
29,qarqin,59.7,33,66.04,37.42,0,AF,10.13,1602878309
30,lasa,48.0,93,10.7,46.62,75,IT,5.82,1602878310
31,moindou,66.2,93,165.68,-21.69,90,NC,4.7,1602878311
32,liku,75.36,84,119.89,-0.73,99,ID,2.64,1602878313
33,mar del plata,66.2,77,-57.56,-38.0,0,AR,14.99,1602878305
34,olafsvik,46.76,82,-23.71,64.89,100,IS,4.07,1602878315
35,saint-georges,87.8,70,-61.75,12.06,20,GD,17.22,1602878317
36,bengkulu,75.33,89,102.27,-3.8,55,ID,3.4,1602878318
37,esperance,46.4,100,121.9,-33.87,23,AU,3.36,1602878320
38,sambava,73.0,82,50.17,-14.27,1,MG,8.59,1602878321
39,atuona,78.78,74,-139.03,-9.8,0,PF,20.47,1602878322
40,petaling jaya,80.6,83,101.61,3.11,20,MY,1.23,1602878315
41,new norfolk,39.99,70,147.06,-42.78,100,AU,2.15,1602878325
42,dicabisagan,78.55,84,122.42,17.08,100,PH,6.35,1602878327
43,yellowknife,27.0,73,-114.35,62.46,90,CA,18.34,1602878266
44,veraval,82.8,81,70.37,20.9,100,IN,11.41,1602878330
45,chuy,64.38,74,-53.46,-33.7,13,UY,14.09,1602878036
46,adra,64.0,82,-3.02,36.75,0,ES,2.24,1602878334
47,albany,50.0,91,-73.97,42.6,100,US,4.45,1602878335
48,luderitz,66.24,56,15.16,-26.65,0,NA,15.28,1602878336
49,jarinu,66.2,68,-46.73,-23.1,40,BR,20.8,1602878338
50,ushuaia,46.4,52,-68.3,-54.8,75,AR,19.46,1602878339
51,dodola,50.81,77,39.18,6.98,2,ET,1.12,1602878340
52,tieli,33.91,85,128.05,46.95,36,CN,9.42,1602878341
53,faanui,78.69,79,-151.75,-16.48,97,PF,11.99,1602878343
54,leningradskiy,33.12,92,178.42,69.38,38,RU,6.55,1602878344
55,cape town,64.0,67,18.42,-33.93,0,ZA,4.7,1602878345
56,punta arenas,41.0,86,-70.92,-53.15,90,CL,10.29,1602878347
57,ponta do sol,68.0,68,-17.1,32.67,20,PT,5.82,1602878348
58,kutum,79.95,17,24.67,14.2,0,SD,9.64,1602878349
59,kenai,37.0,75,-151.26,60.55,1,US,5.82,1602878352
60,avarua,77.0,57,-159.78,-21.21,87,CK,13.87,1602878353
61,bathsheba,87.8,66,-59.52,13.22,40,BB,13.87,1602878354
62,pevek,35.73,86,170.31,69.7,14,RU,12.57,1602878357
63,beyneu,56.46,36,55.2,45.32,0,KZ,12.41,1602878359
64,hervey bay,61.0,93,152.85,-25.3,66,AU,8.05,1602878361
65,torbay,59.0,87,-52.73,47.67,90,CA,5.82,1602878362
66,puerto ayora,78.8,65,-90.35,-0.74,20,EC,16.11,1602878363
67,georgetown,78.8,94,100.34,5.41,20,MY,2.24,1602878364
68,marawi,73.99,93,124.29,8.0,84,PH,4.0,1602878365
69,meulaboh,76.71,84,96.13,4.14,100,ID,3.98,1602878367
70,qaanaaq,28.51,85,-69.36,77.48,100,GL,7.07,1602878369
71,samara,57.2,54,50.0,53.0,20,RU,4.47,1602878370
72,vanavara,25.72,96,102.28,60.34,100,RU,9.35,1602878372
73,vaini,75.2,94,-175.2,-21.2,90,TO,10.29,1602878373
74,cedar city,60.8,12,-113.06,37.68,1,US,4.7,1602878242
75,lodwar,89.17,36,35.6,3.12,10,KE,13.53,1602878375
76,kalmunai,76.37,75,81.82,7.42,35,LK,3.15,1602878377
77,kapaa,82.0,88,-159.32,22.08,40,US,6.93,1602878378
78,tuktoyaktuk,21.2,92,-133.04,69.45,90,CA,23.04,1602878379
79,victoria,77.0,73,114.16,22.29,40,HK,10.78,1602878295
80,mataura,44.01,86,168.86,-46.19,84,NZ,4.0,1602878383
81,saint-pierre,73.4,83,55.48,-21.34,20,RE,3.36,1602878384
82,mogadishu,79.43,82,45.34,2.04,65,SO,15.86,1602878385
83,inyonga,72.68,53,32.07,-6.72,0,TZ,2.1,1602878386
84,kupang,77.23,72,123.58,-10.17,37,ID,4.18,1602878387
85,tambura,70.5,95,27.47,5.6,100,SS,2.91,1602878389
86,saint-philippe,73.4,83,55.77,-21.36,20,RE,3.36,1602878392
87,prince rupert,48.2,76,-130.32,54.32,1,CA,11.41,1602878134
88,inongo,74.48,87,18.27,-1.95,55,CD,6.69,1602878394
89,portland,66.99,55,-122.68,45.52,29,US,1.01,1602878396
90,port pirie,57.2,93,138.02,-33.18,90,AU,11.41,1602878398
91,vulturu,62.6,77,27.42,45.62,90,RO,6.93,1602878399
92,thompson,30.2,80,-97.86,55.74,75,CA,13.87,1602878400
93,cidreira,66.27,76,-50.21,-30.18,20,BR,17.47,1602878402
94,airai,59.94,70,125.41,-8.93,57,TL,2.13,1602878404
95,springdale,64.99,23,-94.13,36.19,1,US,8.05,1602878406
96,vila,52.0,74,-8.16,42.03,97,PT,1.01,1602878407
97,ndungu,72.3,68,38.05,-4.37,0,TZ,3.04,1602878409
98,castro,67.39,65,-50.01,-24.79,89,BR,8.55,1602878134
99,koungou,78.8,78,45.2,-12.73,0,YT,8.05,1602878411
100,coahuayana,86.0,66,-103.68,18.73,40,MX,6.93,1602878413
101,maningrida,78.19,81,134.27,-12.07,87,AU,5.03,1602878414
102,magistralnyy,23.59,93,107.45,56.17,55,RU,3.87,1602878415
103,zhigansk,19.49,95,123.37,66.77,96,RU,6.38,1602878417
104,carnarvon,68.0,88,113.63,-24.87,0,AU,19.46,1602878418
105,bilibino,26.06,97,166.44,68.05,98,RU,0.83,1602878300
106,hudson bay,31.53,75,-102.38,52.85,0,CA,10.27,1602878421
107,shimoda,61.0,63,138.95,34.67,100,JP,4.0,1602878422
108,wattens,46.0,93,11.6,47.27,75,AT,2.24,1602878424
109,behbahan,71.6,18,50.24,30.6,0,IR,1.63,1602878425
110,alofi,77.04,83,-169.92,-19.06,100,NU,19.6,1602878426
111,jamestown,48.99,45,-79.24,42.1,20,US,13.87,1602878271
112,fuji,61.0,63,138.68,35.17,100,JP,4.0,1602878429
113,atar,92.41,21,-13.05,20.52,2,MR,8.93,1602878430
114,cabo san lucas,91.99,52,-109.91,22.89,5,MX,3.36,1602878400
115,tomatlan,90.75,62,-105.25,19.93,9,MX,8.46,1602878434
116,ahipara,55.94,66,173.17,-35.17,1,NZ,3.06,1602878435
117,kodiak,39.2,69,-152.41,57.79,1,US,6.93,1602878435
118,kipushi,67.64,60,27.23,-11.77,21,CD,3.2,1602878439
119,eureka,78.8,34,-124.16,40.8,1,US,6.93,1602878348
120,champerico,87.8,62,-91.92,14.3,40,GT,6.93,1602878441
121,aksarka,30.15,99,67.8,66.56,100,RU,21.3,1602878442
122,hilo,80.6,69,-155.09,19.73,40,US,5.82,1602878397
123,souillac,69.8,88,57.52,-20.52,20,MU,4.7,1602878444
124,iqaluit,35.6,93,-68.51,63.75,90,CA,2.24,1602878412
125,hofn,44.6,63,-15.21,64.25,0,IS,2.24,1602878448
126,nemuro,49.95,70,145.57,43.32,100,JP,9.98,1602878450
127,hirado,62.01,80,129.55,33.36,100,JP,15.68,1602878451
128,nanortalik,40.51,81,-45.24,60.14,80,GL,11.43,1602878454
129,kirakira,81.01,75,161.92,-10.45,30,SB,3.94,1602878455
130,hambantota,78.26,82,81.12,6.12,51,LK,15.12,1602878457
131,cayenne,87.8,48,-52.33,4.93,0,GF,13.87,1602878446
132,changzhou,57.0,89,119.97,31.78,0,CN,3.67,1602878428
133,constitucion,59.31,75,-72.42,-35.33,5,CL,6.4,1602878461
134,narsaq,44.6,80,-46.05,60.92,75,GL,4.7,1602878462
135,springfield,64.99,23,-93.3,37.22,1,US,16.11,1602878206
136,andros town,86.0,74,-77.77,24.7,92,BS,6.93,1602878465
137,sabzevar,50.31,41,57.68,36.21,0,IR,8.41,1602878466
138,avila,42.8,65,-5.0,40.58,43,ES,1.12,1602878467
139,morant bay,87.8,70,-76.41,17.88,40,JM,17.22,1602878469
140,feltre,48.99,95,11.91,46.02,100,IT,2.59,1602878470
141,waipawa,53.6,71,175.52,-41.41,100,NZ,3.36,1602878471
142,galle,79.65,83,80.22,6.04,54,LK,12.57,1602878472
143,sinegorye,21.63,89,150.48,62.08,99,RU,4.14,1602878473
144,balaipungut,75.94,86,101.28,1.05,95,ID,0.69,1602878475
145,husavik,39.2,86,-17.34,66.04,90,IS,3.36,1602878476
146,villarrica,84.56,60,-56.43,-25.75,100,PY,0.27,1602878477
147,ha tinh,73.96,90,105.9,18.33,100,VN,21.0,1602878478
148,tasiilaq,37.4,100,-37.64,65.61,90,GL,3.36,1602878479
149,margherita,73.35,91,95.68,27.28,0,IN,2.26,1602878481
150,port alfred,67.12,77,26.89,-33.59,32,ZA,25.68,1602878482
151,miri,78.8,94,114.01,4.41,40,MY,6.93,1602878483
152,locri,68.0,59,16.26,38.24,20,IT,9.17,1602878484
153,shirokiy,34.02,83,129.52,49.76,99,RU,9.01,1602878485
154,altagracia de orituco,82.24,74,-66.38,9.86,100,VE,3.78,1602878486
155,asfi,64.11,72,-9.24,32.3,0,MA,11.92,1602878256
156,katsuura,60.8,72,140.3,35.13,75,JP,11.41,1602878489
157,vila franca do campo,64.4,93,-25.43,37.72,40,PT,10.29,1602878490
158,bambous virieux,71.01,88,57.76,-20.34,20,MU,4.7,1602878491
159,fonte boa,92.34,48,-66.27,-2.5,87,BR,2.57,1602878493
160,maneadero,87.85,26,-116.57,31.72,0,MX,9.8,1602878494
161,hasaki,55.4,93,140.83,35.73,75,JP,10.29,1602878497
162,touros,84.2,58,-35.46,-5.2,99,BR,17.22,1602878498
163,tuatapere,45.0,85,167.68,-46.13,78,NZ,4.0,1602878500
164,gat,75.0,76,34.76,31.61,0,IL,4.61,1602878501
165,monrovia,78.8,94,-10.8,6.3,75,LR,6.71,1602878489
166,zabaykalsk,32.45,94,117.32,49.63,2,RU,13.82,1602878504
167,healdsburg,97.0,22,-122.87,38.61,1,US,3.36,1602878505
168,omboue,75.79,84,9.26,-1.57,99,GA,8.34,1602878506
169,nouadhibou,80.6,51,-17.03,20.93,4,MR,16.11,1602878507
170,kaitangata,46.99,87,169.85,-46.28,76,NZ,4.0,1602878508
171,saint george,78.01,11,-113.58,37.1,1,US,4.7,1602878510
172,aloleng,80.31,83,119.78,16.13,68,PH,5.66,1602878511
173,buin,78.01,41,-70.75,-33.73,0,CL,8.05,1602878512
174,hoi an,77.0,94,108.33,15.88,75,VN,2.24,1602878513
175,lompoc,93.0,22,-120.46,34.64,1,US,4.7,1602878514
176,nokaneng,77.04,17,22.27,-19.67,91,BW,8.72,1602878515
177,salsomaggiore terme,52.0,93,9.98,44.81,20,IT,4.7,1602878516
178,severo-kurilsk,41.23,75,156.12,50.68,76,RU,18.34,1602878518
179,bandiagara,91.29,26,-3.61,14.35,97,ML,0.83,1602878519
180,aksu,50.88,42,80.26,41.12,0,CN,4.76,1602878520
181,novomikhaylovskiy,64.06,77,38.86,44.26,0,RU,1.36,1602878521
182,broome,48.99,81,-75.83,42.25,90,US,11.41,1602878523
183,myaundzha,16.7,95,147.19,63.05,99,RU,3.29,1602878524
184,lavrentiya,39.76,92,-171.0,65.58,100,RU,29.1,1602878526
185,esmeraldas,77.0,65,-44.31,-19.76,40,BR,12.75,1602878527
186,chumikan,36.05,80,135.31,54.72,93,RU,18.88,1602878528
187,sitka,50.0,66,-135.33,57.05,75,US,4.7,1602878529
188,aitape,76.03,90,142.35,-3.14,100,PG,2.28,1602878530
189,roald,46.4,87,6.13,62.58,40,NO,3.36,1602878531
190,mende,42.8,87,3.5,44.67,90,FR,5.82,1602878532
191,petropavlovsk-kamchatskiy,30.2,86,158.65,53.05,20,RU,4.47,1602878533
192,dinga,71.6,56,73.72,32.64,0,PK,2.42,1602878535
193,saint-michel-des-saints,45.25,83,-73.92,46.68,100,CA,7.27,1602878536
194,san quintin,81.0,48,-115.95,30.48,0,MX,12.75,1602878537
195,qeshm,69.8,34,56.27,26.96,0,IR,9.17,1602878538
196,east wenatchee bench,62.01,58,-120.28,47.43,90,US,5.82,1602878539
197,dikson,25.3,95,80.55,73.51,100,RU,11.45,1602878540
198,manta,84.2,66,-80.73,-0.95,40,EC,13.87,1602878541
199,mount gambier,53.6,87,140.77,-37.83,90,AU,9.17,1602878543
200,manitouwadge,33.8,64,-85.84,49.12,75,CA,6.93,1602878544
201,deputatskiy,13.35,97,139.9,69.3,100,RU,8.68,1602878545
202,tarauaca,89.73,50,-70.77,-8.16,99,BR,1.3,1602878546
203,patiya,78.15,93,91.98,22.29,100,BD,4.45,1602878549
204,troitsko-pechorsk,30.9,97,56.2,62.71,95,RU,8.86,1602878550
205,ilinskiy,35.6,84,38.12,55.62,27,RU,2.24,1602878552
206,lazurne,60.8,100,32.53,46.08,45,UA,6.71,1602878553
207,kailua,82.4,74,-157.74,21.4,40,US,8.05,1602878554
208,manavalakurichi,80.6,88,77.3,8.13,40,IN,3.36,1602878555
209,byron bay,60.01,100,153.62,-28.65,30,AU,4.81,1602878557
210,ilulissat,48.2,73,-51.1,69.22,75,GL,10.29,1602878559
211,duluth,39.2,32,-92.11,46.78,90,US,16.11,1602878527
212,mehamn,32.0,84,27.85,71.04,75,NO,10.29,1602878561
213,saint-augustin,52.79,75,-58.65,51.23,51,CA,11.9,1602878562
214,jalingo,78.73,73,11.37,8.88,8,NG,2.64,1602878563
215,bubaque,83.07,82,-15.83,11.28,100,GW,10.83,1602878565
216,coquimbo,59.0,77,-71.34,-29.95,75,CL,11.41,1602878566
217,urgut,57.2,44,67.24,39.4,0,UZ,4.7,1602878567
218,upernavik,36.19,77,-56.15,72.79,100,GL,9.73,1602878568
219,shu,51.01,91,73.76,43.6,0,KZ,1.01,1602878569
220,tilichiki,31.5,93,166.1,60.47,14,RU,1.28,1602878570
221,ponta delgada,64.4,93,-25.67,37.73,40,PT,10.29,1602878571
222,bady bassitt,79.54,47,-49.45,-20.92,100,BR,9.53,1602878573
223,huarmey,69.8,66,-78.15,-10.07,8,PE,11.48,1602878574
224,hami,40.69,55,93.45,42.8,6,CN,1.25,1602878575
225,mana,83.79,69,-53.78,5.66,0,GF,12.55,1602878576
226,hannibal,59.0,21,-91.36,39.71,40,US,14.99,1602878441
227,natal,84.2,58,-35.21,-5.79,60,BR,17.22,1602878442
228,abay,28.4,79,72.85,49.63,9,KZ,6.71,1602878579
229,tiksi,22.95,98,128.87,71.69,100,RU,7.47,1602878581
230,hakkari,48.2,49,44.17,37.58,0,TR,2.42,1602878582
231,adrar,92.57,13,-10.07,20.5,0,MR,9.46,1602878583
232,prainha,95.95,35,-53.48,-1.8,62,BR,5.48,1602878584
233,hualmay,68.52,68,-77.61,-11.1,33,PE,11.81,1602878585
234,tabou,77.13,88,-7.35,4.42,95,CI,7.36,1602878586
235,tahoua,92.88,18,5.27,14.89,0,NE,4.83,1602878588
236,tual,80.83,79,132.75,-5.67,93,ID,14.79,1602878589
237,conneaut,51.8,29,-80.55,41.95,20,US,4.7,1602878590
238,guerrero negro,83.7,42,-114.06,27.98,91,MX,13.13,1602878591
239,praia da vitoria,66.2,88,-27.07,38.73,75,PT,7.58,1602878593
240,mbandaka,73.58,88,18.26,0.05,0,CD,3.89,1602878595
241,lebu,57.72,75,-73.65,-37.62,2,CL,5.75,1602878596
242,kiunga,71.92,99,141.29,-6.12,100,PG,1.36,1602878597
243,colinas,96.85,27,-44.25,-6.03,65,BR,4.14,1602878345
244,muravlenko,37.11,99,74.52,63.79,100,RU,13.82,1602878600
245,baixa grande,90.1,24,-40.17,-11.96,55,BR,5.23,1602878409
246,codrington,54.61,95,141.97,-38.27,100,AU,11.54,1602878603
247,susehri,59.41,44,38.09,40.16,0,TR,1.57,1602878604
248,east london,68.29,74,27.91,-33.02,86,ZA,22.91,1602878605
249,mina,71.01,56,-100.53,26.0,90,MX,13.87,1602878606
250,port elizabeth,64.4,88,25.57,-33.92,0,ZA,18.34,1602878588
251,bose,51.01,85,8.01,45.46,41,IT,3.0,1602878608
252,saskylakh,3.56,93,114.08,71.92,84,RU,2.73,1602878609
253,kayerkan,14.0,92,87.76,69.35,48,RU,4.47,1602878611
254,vila do maio,82.4,78,-23.22,15.13,100,CV,2.24,1602878612
255,leshukonskoye,32.25,98,45.76,64.9,100,RU,5.48,1602878613
256,akureyri,39.2,86,-18.09,65.68,90,IS,3.36,1602878614
257,emerald,60.8,82,148.17,-23.53,0,AU,5.82,1602878415
258,vila velha,69.8,88,-40.29,-20.33,75,BR,11.41,1602878616
259,vangaindrano,72.3,90,47.6,-23.35,74,MG,3.85,1602878618
260,severobaykalsk,21.2,87,109.32,55.65,61,RU,8.81,1602878619
261,gubkinskiy,36.45,98,76.5,64.43,100,RU,11.32,1602878620
262,mocuba,68.45,87,36.99,-16.84,0,MZ,2.24,1602878621
263,richards bay,68.5,85,32.04,-28.78,73,ZA,4.34,1602878622
264,fortuna,73.4,49,-124.16,40.6,1,US,6.93,1602878623
265,chokurdakh,33.04,99,147.92,70.63,100,RU,7.63,1602878624
266,santa rosa,80.01,94,121.11,14.31,20,PH,4.94,1602878626
267,port hawkesbury,62.6,55,-61.35,45.62,1,CA,11.41,1602878627
268,longyearbyen,26.6,58,15.64,78.22,75,SJ,13.87,1602878598
269,shingu,57.94,91,135.98,33.73,100,JP,7.83,1602878630
270,rio cuarto,87.8,27,-64.35,-33.13,2,AR,27.51,1602878416
271,vitre,51.8,87,-1.21,48.12,90,FR,1.12,1602878633
272,jiangyou,56.14,82,104.72,31.77,86,CN,1.28,1602878634
273,tselinnoye,42.75,80,85.67,53.08,100,RU,10.42,1602878635
274,isangel,73.89,73,169.27,-19.55,0,VU,11.86,1602878636
275,staffanstorp,46.99,81,13.21,55.64,27,SE,12.75,1602878637
276,kwinana,57.99,71,115.77,-32.25,0,AU,16.11,1602878639
277,talnakh,14.0,92,88.4,69.49,92,RU,4.47,1602878641
278,mahebourg,69.8,88,57.7,-20.41,20,MU,4.7,1602878395
279,state college,52.0,65,-77.86,40.79,100,US,4.88,1602878643
280,pisco,75.2,53,-76.22,-13.7,6,PE,8.05,1602878644
281,lerwick,44.6,93,-1.15,60.15,100,GB,8.05,1602878645
282,kharp,29.12,97,65.81,66.8,100,RU,14.43,1602878646
283,waunakee,52.0,34,-89.46,43.19,75,US,11.41,1602878606
284,lima,68.0,72,-77.03,-12.04,75,PE,16.11,1602878637
285,namibe,71.6,88,12.15,-15.2,75,AO,11.41,1602878650
286,andenes,42.8,87,16.12,69.31,75,NO,24.16,1602878404
287,rincon,84.99,45,-81.24,32.3,20,US,10.29,1602878642
288,chardara,58.15,36,67.97,41.25,0,KZ,5.17,1602878654
289,maun,84.2,21,23.42,-19.98,99,BW,6.93,1602878655
290,tessalit,90.75,12,1.01,20.2,0,ML,9.4,1602878657
291,brigham city,59.0,24,-112.02,41.51,1,US,8.05,1602878654
292,bonavista,48.99,80,-53.11,48.65,82,CA,1.99,1602878510
293,pochutla,91.99,66,-96.47,15.74,40,MX,11.41,1602878661
294,barra patuca,78.62,87,-84.28,15.8,100,HN,7.18,1602878662
